category,year level,question,choice_a,choice_b,choice_c,choice_d,correct_answer,is_active,difficulty_level
Math,Senior (Grade 11-12),"A potter can make jars at a cost of 165 pesos each. If the potter sells the jar for x pesos each, it is estimated that 250 - 3x jars will be sold per month. Express the total revenue, R(x), of selling jars per month as a function of x.",R(x) = 250 - 3x^2,R(x) = 165x,"R(x) = 41,250 - 495x",R(x) = 250x - 3x^2,R(x) = 250x - 3x^2,1,Difficult
Math,Senior (Grade 11-12),"A toy maker can make 30 toys in a month at a cost of x pesos each. The toy maker sells the toys for 3x + 1 pesos each. Suppose, he can sell all the toys he made, express the total profit, P(x), of selling toys per month as a function of x.",P(x) = 3x^2 + x,P(x) = 90x + 30,P(x) = 60x + 30,P(x) = 27x - 1,P(x) = 60x + 30,1,Difficult
Math,Senior (Grade 11-12),Charles wishes to make open boxes from a square piece of cardboard with a side that measures 10 inches by cutting equal squares from the four corners and turning the sides. Let x inches be the length of the side of the square to be cut out. Express the number of cubic inches in the volume of the box as the function of x.,V(x) = x^3 - 20x^2 + 100x,V(x) = 100x^3,V(x) = x^3 - 100x,V(x) = 4x^3 - 40x^2 + 100x,V(x) = 4x^3 - 40x^2 + 100x,1,Difficult
Math,Senior (Grade 11-12),"A rectangular lot is to be enclosed with a 200 meter fence. Let x meters be the length of the field, express the number of square meters in the area of the field as a function of x.",A(x) = 100x - x^2,A(x) = 200x^2,A(x) = 200 - x^2,A(x) = 100 - x^2,A(x) = 100x - x^2,1,Difficult
Math,Senior (Grade 11-12),"A rectangular beach resort is to be fenced using 240 meters of fencing materials, and no fence is required along the shoreline. Let x meters be the length of each side perpendicular to the shoreline, express the number of square meter in the area of the beach resort as a function of x.",A(x) = 240x - 2x^2,A(x) = 120 - x^2,A(x) = 240 - x^2,A(x) = 120x - x^2,A(x) = 240x - 2x^2,1,Difficult
Math,Senior (Grade 11-12),"A rectangular lot is to be enclosed using a fence worth PHP 18,000. The shorter sides cost PHP 60.00 per running foot, and the longer sides cost PHP 80.00 per running foot. Let x be the length of the shorter side, express the number of square feet of the area of the plot as a function of x.",A(x) = (225/2)x - (3/4)x^3,A(x) = (225/2)x - (3/4)x^2,A(x) = (3/4)x - 112x^2,"A(x) = 1,800x - 24x^2",A(x) = (225/2)x - (3/4)x^2,1,Difficult
Math,Senior (Grade 11-12),"A projectile is shot straight upward 5 m from the ground with an initial velocity of 35 m/s. The height of the projectile, s, in meters, after t seconds, is s(t) = 5 + 35t - 9.8t^2. Calculate the height of the projectile after 3.5 seconds.",6.55 m,6.25 m,7.45 m,5.35 m,7.45 m,1,Difficult
Math,Senior (Grade 11-12),"The electric current, in amperes, that passes through a circuit at a fixed voltage of 220 volts can be described by the function I(R) = 220/R where R is the resistance of the circuit in ohms. How much current passes through a circuit with the resistance of 10 ohms?",2200 amperes,220 amperes,22 amperes,2.2 amperes,22 amperes,1,Difficult
Math,Senior (Grade 11-12),The functions f and g are defined as f(x) = x - 3 and g(x) = x^2 + 2. Which of the following defines f + g?,x^2 + x + 1,x^2 - x + 5, -x^2 + x - 5,x^2 + x - 1,x^2 + x - 1,1,Average
Math,Senior (Grade 11-12),The functions f and g are defined as f(x) = x^2 + 2x - 3 and g(x) = x^2 + 3. Which of the following defines f - g?,2x,2x - 6,x^2 - 6,x^2 + 2x,2x - 6,1,Average
Math,Senior (Grade 11-12),The functions f and g are defined as f(x) = x - 2 and g(x) = x + 2. Which of the following defines f · g?,x^2 - 2x,x^2 - 4,x - 4,x^2,x^2 - 4,1,Average
Math,Senior (Grade 11-12),The functions f and g are defined as f(x) = x^2 + x - 12 and g(x) = x + 4. Which of the following defines f / g?,x - 3,x + 3,x + 4,x - 4,x - 3,1,Average
Math,Senior (Grade 11-12),The functions f and g are defined as f(x) = √(x+2) and g(x) = x^2 - 1. Which of the following defines f of g?,x^2 + 1,x^2 - 1,x + 1,x - 1,x + 1,1,Average
Math,Senior (Grade 11-12),"If the functions f and g are defined as f(x) = √x + 1 and g(x) = x2 - 1, then which of the following has the definition x + 2√x?",g(f(x)),f(g(x)),f(x) / g(x),f(x) · g(x),g(f(x)),1,Average
Math,Senior (Grade 11-12),"Which of the following statements is always true about the operation of functions? I. f(x) + g(x) = g(x) + f(x), II. f(g(x)) = g(f(x)), III. f(x) - g(x) = g(x) - f(x)",I only,II only,III only,None of the statements are true.,I only,1,Average
Math,Senior (Grade 11-12),A projectile is fired directly upward with an initial velocity of 350 feet per second. Its heights is a function of time given by h(t) = - 16t^2 + 350t. Calculate the height after 3.25 seconds.,1087.5 feet,968.5 feet,906 feet,1029 feet,968.5 feet,1,Average
Math,Senior (Grade 11-12),"The evacuation authorities figured out that the cost in PHP per day per evacuee is a function, C(n) = 0.02n^2 - 4n + 500, where n is the number of evacuees. What is the minimum cost per day per evacuee?",PHP 300,PHP 200,PHP 500,PHP 100,PHP 300,1,Average
Math,Senior (Grade 11-12),"A tailor can make pants at a cost of 400 pesos each. If the tailor sells the pants for x pesos each, it is estimated that 1000 - 10x pants will be sold per week. Calculate the maximum weekly profit of the tailor.","PHP 18,000","PHP 16,000","PHP 14,000","PHP 12,000","PHP 18,000",1,Average
Math,Senior (Grade 11-12),"A startup company modelled its profit as P(t) = 10000t^2 + 500t - 100, where t is the time in years. What is the company's profit after 10 years?","PHP 1,049,000","PHP 1,409,000","PHP 1,004,900","PHP 10,049,000","PHP 1,004,900",1,Difficult
Math,Senior (Grade 11-12),The student population of an elementary school grows as a linear function P(t) = 250t + 1500 where t is the number of years after 2005. What is the school population in 2011?,3000,2750,3250,2500,3000,1,Difficult
Math,Senior (Grade 11-12),Charles wishes to make open box from a square piece of cardboard with a side that measures 12 inches by cutting equal squares from the four corners and folding the sides. What will be the volume of the box if he cuts a square with 2 inch sides?,144 in^3,200 in^3,256 in^3,288 in^3,200 in^3,1,Difficult
Math,Senior (Grade 11-12),"The amount of bacteria present in a petri dish is given by the function f(t) = 50,000t^3 + 20,000t^2 + 10,000 where t is the number of minutes after 12 noon. What is the population of bacteria at 12:07 pm?",38080000,18140000,11530000,26890000,18140000,1,Difficult
Math,Senior (Grade 11-12),"The base jeepney fare is 8 pesos for the first four kilometers, and an additional 1.50 pesos per kilometer for the succeeding kilometers. How much would the fare be if you were to travel 15 kilometers?",PHP 24.50,PHP 22.50,PHP 30.50,PHP 8.00,PHP 24.50,1,Difficult
Math,Senior (Grade 11-12),"A travel agency offers an all-inclusive tour package for PHP 2,500 per person if not more than 5 people take the tour. Once the group exceeds five members, the remaining members will receive a discount of PHP 50 each. How much would the travel agency's revenue be if 11 people take the package?","PHP 24,000","PHP 24,200","PHP 24,400","PHP 26,600","PHP 24,200",1,Difficult
Math,Senior (Grade 11-12),"A sales analyst projected that 1,500 units of their company product will be sold if it were priced at PHP 50. However, the number of units sold increased by 100 for each peso subtracted from the price. What will the analyst's income be if the selling price is PHP 35?","PHP 350,000","PHP 105,000","PHP 52,500","PHP 175,000","PHP 105,000",1,Difficult
Math,Senior (Grade 11-12),A car company spent PHP 20 billion to develop its new SUV. The cost of manufacturing each SUV is PHP 1.5 million. Which rational function gives the average cost of developing and manufacturing n SUVs?,"A(x) = (20,000,000,000x + 1,500,000)/x","A(x) = (20,001,500,000 + x)/x","A(x) = (20,000,000,000 + 1,500,000)/x","A(x) = (20,000,000,000 + 1,500,000x)/x","A(x) = (20,000,000,000 + 1,500,000x)/x",1,Difficult
Math,Senior (Grade 11-12),The number of radios produced by a factory in t hours is given by the polynomial function n(t) = t^2 + 3t for t ≥ 1. The cost in PHP of manufacturing the radio in t hours is given by the function c(t) = 24t + 400. What is the average cost of each radio?,A(x) = (24t + 400)/t,A(x) = (t^2 + 3t)/(24t + 400),A(x) = (24t + 400)/(t^2+3t),A(x) = (t^2 + 3t)/t,A(x) = (24t + 400)/(t^2+3t),1,Average
Math,Senior (Grade 11-12),"The rate of a worker can be express as a function of time. It is the amount of work done divided by the time spent to do the work. If a lumberjack needs to cut down 20 trees, express his rate as a function of time, t.",R(t) = t/20,R(t) = t + 20,R(t) = 20/t,R(t) = 20t,R(t) = 20/t,1,Average
