category,year level,question,choice_a,choice_b,choice_c,choice_d,correct_answer,is_active,difficulty_level
Science,Senior (Grade 11-12),Which of the following is NOT a characteristic of a disaster?,Susceptibility of an event to cause danger,Sudden,Disrupts the functioning of a community,Calamitous,Susceptibility of an event to cause danger,1,Average
Science,Senior (Grade 11-12),Which are the two types of disaster?,Artificial disaster and Man-made disaster,Unexpected disaster and Natural disaster,Man-made disaster and Unexpected disaster,Natural disaster and Man-made disaster,Natural disaster and Man-made disaster,1,Easy
Science,Senior (Grade 11-12),Which of the following is a natural disaster?,A typhoon,A 9.0 magnitude earthquake damaging Php 50 billion worth of infrastructures,Food poisoning,A was causing death of 200000 civilians,A 9.0 magnitude earthquake damaging Php 50 billion worth of infrastructures,1,Easy
Science,Senior (Grade 11-12),Which of the following is a man-made disaster?,"A was causing death of 200,000 civilians",A typhoon,Food poisoning,A 9.0 magnitude earthquake damaging Php 50 billion worth of infrastructures,"A was causing death of 200,000 civilians",1,Easy
Science,Senior (Grade 11-12),Which of the following statements is true?,Volcanic eruption and earthquakes are examples of disaster.,All disasters are natural.,"Disaster causes human, material, economic and environmental losses.",Anyone affected by a disaster can recover without help from outside groups.,"Disaster causes human, material, economic and environmental losses.",1,Average
Science,Senior (Grade 11-12),Which among the following does not show the economic elements exposed to hazards?,Fatigue,Sales,Modes of communication,Agricultural production,Fatigue,1,Average
Science,Senior (Grade 11-12),Which among the following does not show the physical elements exposed to hazards?,Household,Lifelines,Public facilities,Aftershocks,Aftershocks,1,Average
Science,Senior (Grade 11-12),Which among the following shows the environmental elements exposed to hazards?,"Forest trees, Minerals","Gender, Modes of transportation","Modes of transportation, Minerals","Minerals, Gender","Forest trees, Minerals",1,Average
Science,Senior (Grade 11-12),Which among the following does not shows the social elements exposed to hazards?,Security,Clean water,Livelihood,Gender,Clean water,1,Easy
Science,Senior (Grade 11-12),What type of vulnerability refers to the welfare of a society?,Social,Environmental,Economic,Physical,Social,1,Average
Science,Senior (Grade 11-12),Which of the following is not vulnerable to hazards in the environment?,Clean water,Air,Trees,Fire,Fire,1,Easy
Science,Senior (Grade 11-12),"Select True is the statement is true, otherwise, select the correct word that would make the statement true. Knowing the vulnerability of an area helps the level of (sensitivity) to cope with hazards.",weakness,TRUE,preparedness,implementation,preparedness,1,Average
Science,Senior (Grade 11-12),What type of vulnerability is concerned with the level of status of the society?,Social,Environmental,Economic,Physical,Economic,1,Average
Science,Senior (Grade 11-12),Which of the following is NOT a factor affecting the vulnerability of structures?,Configuration,Location,Allocation,Construction,Allocation,1,Average
Science,Senior (Grade 11-12),"Your community is prone to earthquake, which of the following will you consider in building a house?",The house should be L-shaped?,The house should be built on a sand.,The gable wall should be made of light-wight materials.,The foundation of the house should be shallow.,The gable wall should be made of light-wight materials.,1,Average
Science,Senior (Grade 11-12),Which of the following could be the reason why vulnerability of a building increases with age?,The vulnerability of a building depends on the ductility of materials.,"Materials become more elastic through time, causing very low capacity to resist force.","Materials deteriorate through time, thus causing very low capacity to resist force.",The vulnerability of a building increases as it gets older.,"Materials deteriorate through time, thus causing very low capacity to resist force.",1,Average
